Respondent ID,Respondent's gender,Respondent's age,Respondent's marital status,What province does the respondent live?,Name of city / town / growth point,Name of area/ suburb/village,Can you read and write?,What is your highest level of education?,Are you employed?,Mining,Retail,Civil service,Transport,Manufacturing,Tourism,NGOs,Local Government,Vending,Cross border trading,Tuck shop owner,Stationary shop owner,Flea market / bale shop,Canteen shop,Hair-dresser,Beads and ware making,Other (please specify),What best describes ﻿your accommodation agreement?,How can you describe your type of accommodation?,Which bracket can you place your monthly income given your earnings in the past 3 months?,"Have you ever been a part of a policy formulation process? (Eg. National budget consultative meeting, Parliamentary Portfolio Committee Public Outreach)",Budget approval,Discussions on performance of local authority,Discussions on performance of central government,Consultations on service delivery,COVID-19 national response,Consultations on the Transitional Stabilisation Program,Consultations on Vision 2030,Consultations on the National Development Strategy 1,Other (please specify),Do you think there is adequate scope / room for you to make an input towards public policy processes?,Budget approval,Consultations on improvement of service delivery,Discussions on performance of local authorities,Discussions on performance of central government,COVID-19 national response,Development of national processes,Other,Do you know about the National Development Strategy 1: 2021-2025 (NDS1)?,None of the above,Economic Growth and stability,"Transport, Infrastructure and Utilities",Governance,Moving the Economy up the Value Chain and Structural Transformation,Housing Delivery,Devolution,Health and Well-being,Human Capital Development,"Environmental Protection,Climate Resilience and Natural Resource Management",Food Security and Nutrition,Image Building and International Engagement and Re-engagement,Social Protection,Digital Economy,"Youth, Sport and Culture",All of the mentioned priority areas below,Other (please specify),Did you participate or make an input into the content of the NDS1?,Do you know about Vision 2030?,Governance Pillar,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,Infrastructural Development,Social Development,"Micro, Small and Medium Enterprises",Youth Development,Gender Equality and Women Empowerment,"Sport, Recreation, Arts and Culture",Did you participate or make an input into the content of Vision 2030?,Did you vote in the last general elections,Do you know your current Ward Councillor?,Clean water provision,Garbage disposal,Housing,Road network maintenance,Health care,Employment creation,Electricity,Education,Regular supply of clean water,Garbage disposal,Affordable Housing / Stands,Regular road network maintenance,Functioning and well equipped clinics,Jobs,Improved provision of Education,Vocational training opportunities,Street light  installation and maintenance,Sewer reticulation,Other (please specify),Incompetence by office holders,Corruption,Meddling by central government,Lack of appropriate oversight by Councillors,Lack of appropriate oversight by residents,Inadequate resources,Other (please specify),How would you rank overall local council performance since election so far?,Do you know your current Member of Parliament,Do you know your current Senator?,How would you rank overall Government performance since elections?,Provision / Creation of jobs - Rating,Stability of prices - Rating,Health care delivery - Rating,Education delivery - Rating,Nation building - Rating,Infrastructure development - Rating,Does government have adequate resources to implement or address these issues?,Limited financial resources,Corruption,Sanctions,Lack of political will,Incompetence,Ineffective leadership,Lack of integrity,External political pressures,Other (please specify),Stabilising prices,Fixing cash shortages,Creating employment,Dealing with corruption,Improved infrastructure,Re-engagement with the international community,Working together with other political parties,Resuscitating industry,Improved health service delivery,Improved education provision,Ensuring food security,Affordable housing and stands,Improved local government service provision,Other (please specify),Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,Many of us have our own homes,We are food secure (3 meals a day),Corrupt elements are put in prison,Industries are open and exporting,Our schools are working,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,Other (please specify),Are there any other issues you feel should be addressed?
13084838565,Male,36 - 45,Married,Masvingo,Masvingo,RUJEKO ,Yes,Secondary school,Yes,,,,Transport,,,,,,,,,,,,,,Rental,Room(s) in a house,US$51-$100,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Regular supply of clean water,,,Regular road network maintenance,,Jobs,,,,,,Incompetence by office holders,Corruption,,Lack of appropriate oversight by Councillors,,,,Medium,Yes,No,Medium,Medium,Medium,Medium,Medium,Medium,Low,No,Limited financial resources,Corruption,Sanctions,,,,,,,Stabilising prices,,,Dealing with corruption,,,,,,,,Affordable housing and stands,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,Transferring of power from central  government to  local governments 
13084848404,Female,18 - 25,Never Married,Matabeleland North,Binga,Chunga,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,,,Gender Equality and Women Empowerment,,No,No,Yes,Moderately improved (good),Remained the same (fair),Remained the same (fair),Decreased (bad),Moderately improved (good),Remained the same (fair),Non-existent (very bad),Improved a lot (excellent),,,,Regular road network maintenance,,Jobs,,,,,,,,,,,Inadequate resources,,Medium,No,No,Low,Medium,Medium,Medium,High,Medium,Medium,Yes,Limited financial resources,,Sanctions,,,,,,,Stabilising prices,,Creating employment,,Improved infrastructure,,,,,,,,,,Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,,,,,,,,,,Having a survey on disable children who need help and help them in Binga
13084821781,Female,18 - 25,Divorced,Matabeleland North,Binga,Zambezi Mimbo,Yes,Secondary school,Yes,,,,,,,,,,,,,,Canteen shop,,,,Squatting,Hut,US$51-$100,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Regular supply of clean water,,,,,,,Vocational training opportunities,,,,,Corruption,,,Lack of appropriate oversight by residents,,,Low,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Yes,Limited financial resources,Corruption,,Lack of political will,,,,,,,,,Dealing with corruption,,,,,,,Ensuring food security,,,,Many of us in well paying jobs (family / friends),,,We are food secure (3 meals a day),,,,,,,,
13084773454,Female,26 - 35,Never Married,Matabeleland North,Binga,Siabuwa,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,Yes,,,"Transport, Infrastructure and Utilities",,,,,,,,,Image Building and International Engagement and Re-engagement,,,,,,No,Yes,,,,Infrastructural Development,,,Youth Development,,,No,Yes,Yes,Remained the same (fair),Remained the same (fair),Remained the same (fair),Non-existent (very bad),Moderately improved (good),Decreased (bad),Remained the same (fair),Moderately improved (good),,,,Regular road network maintenance,,Jobs,,,,,,,,,,,,Lack of resources ,Medium,Yes,No,Medium,Low,Low,High,High,Medium,Medium,No,,,Sanctions,,,,,External political pressures,,,,Creating employment,,,,,,,,,,,,,Stable and affordable prices of goods,Many of us have our own homes,,,Industries are open and exporting,,,,,,The government should find out on what on we need in our communities to lighten our lives 
13084827010,Female,36 - 45,Married,Mashonaland East,Ruwa,Zimre Park,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Room(s) in a house,US$0-$50,No,,,,,,,,,,Yes,Budget approval,Consultations on improvement of service delivery,,,,Development of national processes,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",,,,Yes,Yes,Yes,Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Regular supply of clean water,Garbage disposal,,,Functioning and well equipped clinics,,,,,,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,,,Incompetence,Ineffective leadership,,,,,,,,,Re-engagement with the international community,,Resuscitating industry,Improved health service delivery,,,,,,,,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13084772444,Female,26 - 35,Married,Mashonaland East,Ruwa,Gazebo,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$51-$100,No,,,,,,,,,,Yes,,Consultations on improvement of service delivery,,,,Development of national processes,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,Gender Equality and Women Empowerment,,Yes,Yes,Yes,Non-existent (very bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Non-existent (very bad),Decreased (bad),Decreased (bad),Remained the same (fair),,Garbage disposal,,Regular road network maintenance,Functioning and well equipped clinics,,,,,,,Incompetence by office holders,Corruption,,,Lack of appropriate oversight by residents,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,Incompetence,Ineffective leadership,,,,,,,,,Re-engagement with the international community,,Resuscitating industry,Improved health service delivery,,,,,,,,,,Corrupt elements are put in prison,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13084767478,Male,56 - 65,Widowed,Matabeleland North,Binga,Zambezi Mimbo,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Decreased (bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Decreased (bad),Decreased (bad),,,,Regular road network maintenance,,,,Vocational training opportunities,,,,Incompetence by office holders,Corruption,,,,,,Low,No,Yes,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,Creating employment,,,,,,Improved health service delivery,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,
13084761741,Male,36 - 45,Married,Mashonaland West,Norton,Marshlands,Yes,Tertiary education,Yes,,,,,,,NGOs,,,,,,,,,,,Company owned,Full house,US$501-$1000,Yes,,,,,COVID-19 national response,Consultations on the Transitional Stabilisation Program,,,,No,,,,,,,,Yes,,Economic Growth and stability,,,,,Devolution,,,,Food Security and Nutrition,Image Building and International Engagement and Re-engagement,,,,,,No,Yes,,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,,,,,Gender Equality and Women Empowerment,,Yes,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Regular supply of clean water,,,,,Jobs,,,,Sewer reticulation,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,Incompetence,,,External political pressures,,,,,Dealing with corruption,,,,Resuscitating industry,,Improved education provision,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,
13084733377,Female,56 - 65,Widowed,Matabeleland North,Siabuwa,Chunga,No,Primary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Moderately improved (good),Decreased (bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Decreased (bad),Non-existent (very bad),Moderately improved (good),Regular supply of clean water,,,Regular road network maintenance,Functioning and well equipped clinics,,,,,,,,Corruption,,,,Inadequate resources,,Low,No,No,Low,Medium,Low,Medium,Low,Low,Low,Yes,,,,Lack of political will,Incompetence,Ineffective leadership,,,,Stabilising prices,,,,Improved infrastructure,,,,,,Ensuring food security,,,,,,,We are food secure (3 meals a day),,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,,,None
13084739643,Male,46 - 55,Married,Matabeleland North,Binga,Zambezi Mimbo,Yes,Secondary school,Yes,,,Civil service,,,,,,,,,,,,,,,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,,,,Youth Development,,,Yes,Yes,Yes,Decreased (bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Remained the same (fair),,,,Regular road network maintenance,,,Improved provision of Education,,,,,Incompetence by office holders,Corruption,,,,,,Low,No,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,,,,,,,Improved health service delivery,Improved education provision,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,,,,,,,The government must consider and respect the voice of the citizens and react according to our concerns 
13084746677,Male,18 - 25,Never Married,Mashonaland West,Norton,Marshlands,Yes,Primary school,Yes,,,,,,,,,,,,,,Canteen shop,,,,Rental,Room(s) in a house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,Jobs,,,,Sewer reticulation,,,Corruption,,,,Inadequate resources,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,Limited financial resources,Corruption,,,,Ineffective leadership,,,,,,,Dealing with corruption,,,,,Improved health service delivery,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,
13084739354,Female,26 - 35,Never Married,Midlands,Gweru,Lundi Park,Yes,Tertiary education,Yes,,Retail,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$101-$200,No,,,,,,,,,,Yes,Budget approval,,,,COVID-19 national response,Development of national processes,,Yes,,Economic Growth and stability,,,Moving the Economy up the Value Chain and Structural Transformation,,,,,,,,,Digital Economy,,,,No,Yes,Governance Pillar,,,,Social Development,"Micro, Small and Medium Enterprises",,,,No,Yes,Yes,Moderately improved (good),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),,,,,,Jobs,,,,,,,Corruption,Meddling by central government,,Lack of appropriate oversight by residents,,,Low,Yes,No,Low,Low,Low,Low,Medium,Medium,Medium,Yes,,Corruption,,,Incompetence,,,,,Stabilising prices,Fixing cash shortages,,,,Re-engagement with the international community,,,,,,,,,,,Many of us have our own homes,,,Industries are open and exporting,,,,,,Jobs. 
13084730133,Male,36 - 45,Married,Mashonaland West,Norton,Marshlands,Yes,Tertiary education,Yes,,,,,Manufacturing,,,,,,,,,,,,,Own- Fully paid for,Full house,more than US$1000,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,Inclusive Growth,,,,Youth Development,,,No,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,,,Jobs,,,,Sewer reticulation,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,Lack of political will,,,,,,Stabilising prices,,,,,,Working together with other political parties,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,Economic growth
13084724963,Male,26 - 35,Married,Midlands,Gweru,Lundi Park,Yes,Tertiary education,Yes,,,,,Manufacturing,,,,,,,,,,,,,Rental,Full house,US$201-$500,No,,,,,,,,,,Yes,,Consultations on improvement of service delivery,Discussions on performance of local authorities,,COVID-19 national response,,,Yes,,Economic Growth and stability,,,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,,,Digital Economy,,,,No,Yes,Governance Pillar,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",,,,No,Yes,Yes,Moderately improved (good),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),,,,Regular road network maintenance,,,Improved provision of Education,Vocational training opportunities,,,,,,Meddling by central government,Lack of appropriate oversight by Councillors,,Inadequate resources,,Low,Yes,Yes,Low,Low,Medium,Medium,Medium,Medium,Medium,Yes,,Corruption,,,Incompetence,Ineffective leadership,,,,Stabilising prices,,,Dealing with corruption,,,,,Improved health service delivery,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,Salaries should be in Forex. They are coming in RTGS and on inter bank rate and it’s not the prevailing market exchange rate. We are largely affected when we source and buy forex. 
13084711136,Female,66 and above,Never Married,Matabeleland North,Binga,Zambezi Mimbo,No,Primary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),,,Affordable Housing / Stands,,,,,,,,,,Corruption,,,,,,Low,No,No,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,,,,,,,,,,,,,,,,,,Ensuring food security,,,,,,,We are food secure (3 meals a day),,,Our schools are working,,,,,
13084718298,Female,46 - 55,Married,Mashonaland West,Norton,Marshlands,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Rental,Room(s) in a house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,,,Jobs,,,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,Lack of political will,,,,,,,,,Dealing with corruption,,,Working together with other political parties,,,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,
13084701168,Male,36 - 45,Married,Matabeleland North,Binga,Chunga,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Own- Fully paid for,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Moderately improved (good),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Moderately improved (good),Remained the same (fair),Non-existent (very bad),Moderately improved (good),,,,Regular road network maintenance,Functioning and well equipped clinics,Jobs,,,,,,Incompetence by office holders,,Meddling by central government,,,Inadequate resources,,Medium,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,,Lack of political will,,Ineffective leadership,,,,Stabilising prices,Fixing cash shortages,,,Improved infrastructure,,,,,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,Consider helping people in remote areas
13084690300,Male,36 - 45,Married,Mashonaland West,Norton,Marshlands,Yes,Secondary school,Yes,,,Civil service,,,,,,,,,,,,,,,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,Infrastructural Development,,,,Gender Equality and Women Empowerment,,No,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,Jobs,,,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,,Dealing with corruption,,,Working together with other political parties,,,Improved education provision,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,
13084673913,Male,36 - 45,Married,Matabeleland North,Binga,Zambezi Mimbo,Yes,Tertiary education,Yes,,,,,,,NGOs,,,,,,,,,,,Rental,Room(s) in a house,US$501-$1000,No,,,,,,,,,,No,,,,,,,,Yes,,Economic Growth and stability,,,,,,,Human Capital Development,,Food Security and Nutrition,,,,,,,No,Yes,,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,Infrastructural Development,,,,,,No,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Regular supply of clean water,Garbage disposal,,,,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,,Lack of appropriate oversight by Councillors,,,,Low,Yes,No,Low,Low,Medium,Low,Medium,Low,Low,Yes,,Corruption,,Lack of political will,,Ineffective leadership,,,,Stabilising prices,,,Dealing with corruption,,,,,,,Ensuring food security,,,,,,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,,,Government must prioritise the rights of people and ensure every citizen is benefiting from their programmes 
13084661248,Male,26 - 35,Never Married,Midlands,Gweru,Northlea,Yes,Tertiary education,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$51-$100,No,,,,,,,,,,Yes,Budget approval,,Discussions on performance of local authorities,,COVID-19 national response,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,No,Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Remained the same (fair),Regular supply of clean water,,,Regular road network maintenance,,,,Vocational training opportunities,,,,Incompetence by office holders,Corruption,,,,Inadequate resources,,Medium,Yes,No,Low,Low,Low,Low,Medium,Low,Low,Yes,,Corruption,,,Incompetence,Ineffective leadership,,,,,,Creating employment,,,,,,Improved health service delivery,,Ensuring food security,,,,Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,None
13084660207,Male,36 - 45,Married,Matabeleland North,Siabuwa,Chunga,Yes,Tertiary education,Yes,,,Civil service,,,,,,,,,,,,,,,Company owned,Flat,US$51-$100,No,,,,,,,,,,Yes,,,Discussions on performance of local authorities,,,Development of national processes,,Yes,,Economic Growth and stability,"Transport, Infrastructure and Utilities",,Moving the Economy up the Value Chain and Structural Transformation,,,Health and Well-being,,,,,,,,,,No,Yes,,,,Infrastructural Development,,,,,,No,Yes,Yes,Moderately improved (good),Remained the same (fair),Moderately improved (good),Decreased (bad),Moderately improved (good),Remained the same (fair),Remained the same (fair),Moderately improved (good),,,,Regular road network maintenance,Functioning and well equipped clinics,Jobs,,,,,,,,,,,Inadequate resources,,Medium,Yes,Yes,Medium,Medium,Low,Medium,Medium,Medium,Low,Yes,,,Sanctions,,,,,,,Stabilising prices,,,,Improved infrastructure,,Working together with other political parties,,,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,Checking us on how we are living during the pandemic of COVID 19
13084664377,Female,18 - 25,Never Married,Mashonaland West,Norton,Marshlands,Yes,Primary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Room(s) in a house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,Jobs,,,,Sewer reticulation,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,Creating employment,Dealing with corruption,,,,Resuscitating industry,,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,Purpose of political dialogue
13084647618,Female,18 - 25,Married,Matabeleland North,Binga,Zambezi Mimbo,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,No,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Moderately improved (good),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,Jobs,,,Street light  installation and maintenance,,,,Corruption,,Lack of appropriate oversight by Councillors,,,,Low,No,Yes,Low,Medium,Low,Low,Medium,Low,Low,No,,Corruption,Sanctions,,,,Lack of integrity,,,,Fixing cash shortages,,Dealing with corruption,,,,,,Improved education provision,,,,,,,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,
13084596776,Female,36 - 45,Divorced,Mashonaland Central,Bindura ,Chipadze ,Yes,Secondary school,Yes,,,,,,,,,Vending,,,,,,,,,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,Yes,,,,,,Development of national processes,,Yes,,,,Governance,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",Food Security and Nutrition,,,,,,,No,Yes,,,Inclusive Growth,,,,,Gender Equality and Women Empowerment,,No,Yes,Yes,Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Moderately improved (good),Decreased (bad),,,Affordable Housing / Stands,,,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,,,,,,Medium,Yes,Yes,Medium,Medium,Low,Low,Low,Medium,Medium,Yes,,Corruption,,,,,,,,,,,,,,,,Improved health service delivery,,,,Improved local government service provision,,,,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,Issues to do with cyber crime 
13084642185,Male,26 - 35,Never Married,Mashonaland East,Ruwa,Zimre Park,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Room(s) in a house,US$0-$50,No,,,,,,,,,,Yes,,Consultations on improvement of service delivery,,,,Development of national processes,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,,No,Yes,Yes,Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Regular supply of clean water,Garbage disposal,,,Functioning and well equipped clinics,,,,,,,Incompetence by office holders,Corruption,,,,Inadequate resources,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,,,Incompetence,Ineffective leadership,,,,,,,,Improved infrastructure,,,Resuscitating industry,Improved health service delivery,,,,,,,,,,Corrupt elements are put in prison,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13084617779,Male,36 - 45,Married,Mashonaland East,Ruwa,Gazebo,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Rental,Room(s) in a house,US$51-$100,No,,,,,,,,,,Yes,Budget approval,,,,,Development of national processes,,No,,,,,,,,,,,,,,,,,,,Yes,Governance Pillar,,,,,"Micro, Small and Medium Enterprises",,Gender Equality and Women Empowerment,,No,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Regular supply of clean water,Garbage disposal,,,,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,No,Limited financial resources,Corruption,,,Incompetence,,,,,,,,,,Re-engagement with the international community,,Resuscitating industry,Improved health service delivery,,,,,,,,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
